,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,outlier
GNG5,731.202.978.420.831,-116.155.544.018.543,344.020.412.309.337,-337.641.430.166.354,73.437.245.579.499,980.739.796.058.766,FALSE
PTENP1,546.138.127.311.699,-115.977.265.338.479,324.630.800.715.156,-357.258.969.521.633,353.468.355.733.163,580.027.857.082.685,FALSE
LY75-CD302,590.702.919.491.873,115.942.850.280.406,36.994.693.915.691,313.403.999.353.621,172.417.354.685.167,178.441.009.998.578,FALSE
NBN,893.914.978.049.496,-115.916.259.787.865,40.717.210.553.397,-284.686.151.660.244,441.525.648.064.911,345.377.230.190.694,FALSE
CHPT1,100.969.397.104.286,-1.158.073.738.791,349.417.454.566.037,-331.429.848.067.917,918.733.773.947.437,115.908.835.087.063,FALSE
IKBKG,165.611.138.301.806,-115.794.631.297.653,311.616.508.943.602,-371.593.378.316.841,202.454.602.647.092,385.474.915.390.665,FALSE
INADL,404.811.340.231.787,115.747.839.354.095,394.849.577.162.093,293.144.139.056.729,33.739.302.356.349,286.520.285.461.028,FALSE
SFI1,21.454.319.019.467,115.678.911.744.245,358.010.849.957.701,323.115.659.086.625,123.290.375.428.575,140.894.462.100.491,FALSE
C19orf38,701.677.908.987.083,-115.632.998.262.283,406.243.947.390.239,-284.639.313.410.388,442.175.679.419.971,345.411.892.040.053,FALSE
TTC21B,366.911.674.223.556,11.562.532.640.141,332.425.700.402.762,347.823.066.210.947,504.735.390.666.746,746.628.681.005.738,FALSE
PREX1,616.648.866.371.263,-115.624.431.774.594,411.577.423.303.455,-280.929.966.582.117,4.964.940.866.597,374.504.964.176.844,FALSE
NFIX,788.350.437.570.244,-115.604.013.463.202,425.150.225.259.934,-271.913.329.911.852,654.532.248.946.392,454.071.794.357.275,FALSE
SYNJ1,249.963.093.865.911,-115.573.807.893.522,381.734.985.747.308,-302.759.275.960.173,246.510.044.873.152,228.822.106.276.031,FALSE
RPS13,164.548.986.120.932,115.562.295.914.331,38.430.454.777.795,300.704.991.867.809,263.796.440.343.262,240.687.872.169.192,FALSE
PDIA6,843.275.286.808.005,-11.542.172.376.424,353.965.812.267.612,-326.081.558.625.149,111.092.266.345.458,130.563.920.442.413,FALSE
ACADSB,795.943.456.098.103,115.395.634.008.479,367.650.241.448.299,313.873.407.382.779,169.679.355.754.246,176.568.709.158.501,FALSE
SLC4A7,138.010.808.312.642,115.338.347.854.272,421.905.763.026.446,273.374.667.904.316,626.181.991.475.474,442.145.894.433.055,FALSE
STMN3,252.435.638.671.351,115.333.158.352.935,409.522.413.840.771,281.628.439.506.559,485.826.395.992.041,36.816.279.377.337,FALSE
HIST2H4A,723.499.440.088.531,-115.283.548.785.656,26.332.696.430.986,-437.796.216.911.536,"1,20E+09",428.253.152.594.344,FALSE
NMT2,664.128.435.182.182,115.121.218.496.693,351.733.259.321.602,32.729.693.722.661,106.424.008.934.683,127.095.897.581.159,FALSE
XPA,438.201.375.717.663,115.114.635.858.558,38.836.867.044.743,296.405.566.715.608,303.613.358.009.321,266.157.597.855.212,FALSE
PLAC8,121.920.036.569.931,-115.075.888.453.298,35.029.169.675.671,-328.514.462.428.786,101.930.036.514.418,123.540.070.823.267,FALSE
GBA,168.121.524.192.426,-115.031.639.724.633,393.635.883.543.784,-292.228.540.470.037,347.472.975.024.892,293.550.317.048.807,FALSE
C10orf54,869.491.911.379.579,-114.917.059.515.095,312.000.422.269.268,-368.323.410.203.327,230.293.485.922.085,416.904.318.562.124,FALSE
HIST1H2BE,234.416.090.899.211,-114.916.230.174.985,361.240.796.338.086,-318.115.316.265.205,146.690.053.846.264,158.428.036.374.682,FALSE
PLEKHA1,134.832.946.481.662,11.485.159.685.179,289.497.578.505.575,396.727.314.420.623,"7,27E+09",17.678.882.418.209,FALSE
MBD6,115.576.385.015.986,-114.810.692.769.154,415.985.557.681.989,-27.599.682.404.581,57.806.980.957.591,418.065.071.541.741,FALSE
CCS,155.311.370.978.605,11.477.623.287.078,405.191.520.847.663,283.264.152.790.431,461.651.247.846.567,354.793.293.914.427,FALSE
ANO9,841.805.579.013.689,114.750.874.981.119,385.659.344.989.757,297.544.650.406.868,292.562.372.568.269,258.456.534.402.875,FALSE
HHEX,563.901.606.039.543,-114.702.659.907.701,363.450.218.125.368,-315.593.867.295.839,159.982.494.204.363,168.590.384.877.242,FALSE
PTEN,23.606.607.499.101,-114.683.725.738.714,302.864.411.267.888,-378.663.591.600.648,152.700.587.224.986,31.154.803.505.937,FALSE
HTATIP2,455.408.051.643.523,-114.678.719.869.032,292.693.112.758.078,-39.180.532.397.364,"8,93E+09",205.674.758.153.676,FALSE
TFE3,108.799.886.428.489,-114.668.189.607.674,373.450.855.065.013,-307.050.279.983.189,213.698.682.651.639,206.895.880.784.545,FALSE
LCP2,255.697.759.123.856,-114.653.962.696.366,310.556.084.001.143,-36.918.923.377.442,222.591.694.148.872,408.144.416.682.941,FALSE
KLRG1,861.258.515.697.727,114.590.317.202.138,339.103.821.379.763,337.921.043.578.592,726.943.413.815.817,976.445.316.701.154,FALSE
IRF5,723.113.778.074.615,-114.529.600.570.184,405.994.566.807.126,-282.096.387.325.775,478.795.945.598.934,364.287.375.554.092,FALSE
BIN1,494.424.056.231.509,114.522.737.980.996,410.003.080.315.413,279.321.652.639.522,521.867.468.094.405,38.673.804.247.022,FALSE
CD164,267.168.597.341.487,-114.351.120.296.694,201.019.888.497.347,-568.854.759.354.836,"1,28E+06","2,15E+08",FALSE
NT5C2,584.495.770.072.889,-114.304.873.679.922,380.188.517.459.562,-300.653.145.559.769,264.246.712.695.007,240.838.365.790.155,FALSE
LRRFIP2,223.647.251.592.372,-114.265.989.145.054,383.143.593.519.724,-298.232.806.388.218,286.065.278.649.657,254.490.990.873.583,FALSE
HSP90B1,25.556.717.381.371,-114.252.897.661.859,397.154.392.418.155,-287.678.796.566.259,401.745.445.679.843,323.809.668.408.382,FALSE
ZNF230,120.624.619.569.715,-114.143.743.393.948,237.961.200.109.305,-479.673.759.173.836,"1,61E+08","9,06E+08",FALSE
CTSA,151.680.058.499.321,-114.012.776.733.544,300.951.120.996.204,-37.884.150.873.451,151.611.392.444.886,31.154.803.505.937,FALSE
RPL23A,125.076.720.838.407,113.871.191.237.085,386.998.957.863.614,29.424.159.658.129,325.662.159.453.701,279.668.297.189.716,FALSE
XPO1,103.892.853.053.401,-113.862.686.062.835,335.956.372.585.869,-338.921.048.546.957,700.941.833.429.415,950.563.806.214.325,FALSE
TNFAIP3,971.959.473.745.217,-11.354.910.218.448,347.572.354.483.795,-326.691.984.329.768,108.724.459.856.471,129.436.582.950.215,FALSE
VPS51,772.827.091.535.322,113.446.669.851.675,383.144.921.528.057,296.093.366.967.328,30.670.798.592.282,26.837.977.008.391,FALSE
FAM8A1,131.550.238.581.937,-113.412.390.514.057,319.141.382.996.204,-355.367.233.949.119,379.892.199.760.027,611.959.115.573.885,FALSE
ZYX,765.978.637.510.882,-113.410.854.283.766,409.110.302.213.235,-277.213.391.279.142,556.901.212.537.958,407.929.243.994.567,FALSE
KATNA1,568.071.260.294.412,113.408.706.368.006,367.400.705.652.313,308.678.520.817.349,202.333.741.107.358,200.162.000.837.974,FALSE
TBC1D2,279.070.009.918.651,-113.387.077.758.888,405.973.652.171.367,-279.296.641.918.588,522.271.134.386.385,386.785.862.836.151,FALSE
MS4A1,147.004.289.693.729,113.356.747.465.027,419.624.298.135.068,270.138.664.440.589,690.510.138.635.645,472.365.083.080.494,FALSE
SLC31A2,846.021.158.135.752,-113.333.074.009.518,344.322.267.313.614,-329.148.256.642.642,996.607.936.435.239,12.215.426.731.893,FALSE
NFAM1,7481874.12.00,-113.220.360.747.448,423.263.921.276.863,-267.493.530.764.199,747.436.715.522.158,49.967.243.122.157,FALSE
YBEY,404.723.171.817.349,1.130.833.655.721,420.252.756.092.106,269.084.173.590.323,712.719.972.376.598,4.835.556.980.937,FALSE
CHST15,184.957.504.637.695,-112.843.826.532.234,365.025.126.289.368,-30.913.988.765.469,199.215.824.982.814,198.143.562.335.367,FALSE
NFE2L2,65.494.375.622.842,-11.282.033.930.798,311.650.089.448.432,-362.009.648.409.386,294.493.182.108.981,506.590.458.816.429,FALSE
TLE4,706.398.213.224.598,-112.789.676.300.405,253.378.918.382.167,-445.142.307.104.992,"8,53E+08",34.136.202.446.211,FALSE
EIF3E,101.176.969.475.869,112.660.560.745.492,291.879.437.931.929,385.983.204.379.632,113.464.984.715.588,248.370.731.956.168,FALSE
SBF2,208.747.105.167.974,-112.468.309.195.393,390.691.220.241.176,-287.870.070.706.901,399.317.097.621.198,322.993.723.288.636,FALSE
MVP,408.219.248.595.498,-112.414.929.341.047,391.646.357.477.209,-287.031.724.398.429,410.060.160.811.762,328.653.277.165.014,FALSE
EPG5,448.907.696.320.693,-112.407.977.600.764,393.138.222.487.132,-285.924.825.344.203,424.646.320.033.056,335.713.860.562.995,FALSE
RAB33B,290.965.264.186.621,-112.405.038.820.123,31.503.424.597.799,-356.802.602.431.914,359.680.787.043.082,586.022.768.032.335,FALSE
PROSER1,382.149.376.476.158,-112.319.766.503.963,309.965.943.884.154,-362.361.635.915.529,29.051.241.832.043,50.167.544.436.603,FALSE
MORC4,130.763.543.161.724,112.243.239.030.202,412.316.594.533.565,272.225.858.765.587,648.373.862.260.661,451.171.683.897.672,FALSE
KIAA1671,582.513.923.844.503,112.193.941.467.728,338.641.096.092.314,331.306.338.074.051,922.800.652.619.696,116.213.857.042.271,FALSE
CCBL1,220.992.258.503.061,112.139.398.333.659,359.335.925.863.671,312.073.996.119.731,180.397.255.483.632,18.402.779.058.952,FALSE
HLCS,511.623.090.105.507,112.080.133.184.327,358.636.188.126.462,312.517.634.569.564,177.698.496.748.216,182.252.819.731.421,FALSE
TCAF2,740.808.896.252.393,-112.041.141.723.514,416.412.157.358.588,-269.063.089.882.438,713.170.506.390.678,483.573.699.487.853,FALSE
GNB2L1,483.911.794.153.167,111.995.443.111.213,371.802.921.396.432,301.222.601.184.993,259.339.430.754.219,237.941.441.866.731,FALSE
PTPN1,98.517.597.833.767,-111.681.950.553.163,365.613.472.899.845,-305.464.537.910.388,225.326.777.893.036,214.551.755.862.753,FALSE
ABCB7,491.826.252.677.699,111.674.902.118.634,374.422.401.978.439,29.825.913.601.469,285.819.329.263.052,254.470.683.079.243,FALSE
CHD1L,917.308.909.182.387,111.630.184.493.793,346.740.972.599.217,321.941.141.414.579,128.454.042.979.028,144.764.660.096.424,FALSE
ZNF319,348.206.590.611.818,-11.158.735.966.301,308.458.278.152.655,-361.758.356.207.207,297.366.340.130.633,509.228.695.073.554,FALSE
MMS19,159.648.460.190.384,111.385.935.574.409,303.543.139.681.837,366.952.571.193.536,243.000.897.003.225,43.644.491.816.091,FALSE
POMGNT1,600.418.810.228.282,111.337.132.268.123,378.863.079.925.015,293.871.686.547.443,329.573.997.722.809,281.979.853.265.464,FALSE
CYSLTR1,32.927.996.013.475,-111.290.009.263.533,271.484.035.336.653,-409.932.057.793.114,"4,14E+08",113.657.245.429.661,FALSE
SRGN,131.737.627.199.784,-111.181.033.938.721,39.561.900.926.086,-281.030.565.610.187,494.944.704.821.049,373.583.346.028.065,FALSE
PAG1,101.153.760.366.507,-111.093.298.366.786,299.509.803.767.873,-370.917.068.387.136,207.939.220.970.747,390.699.640.061.181,FALSE
HIST1H2BL,160.546.451.545.577,-111.074.730.730.542,387.677.304.479.228,-286.513.369.359.474,416.833.217.320.838,331.874.493.691.168,FALSE
ZC3H3,185.943.837.402.642,-111.023.863.214.999,396.052.637.403.743,-280.326.029.243.986,505.888.224.709.463,379.083.784.678.806,FALSE
CAD,130.103.524.567.432,111.012.210.733.242,345.916.936.650.429,320.921.582.528.427,133.097.542.970.836,14.795.102.120.686,FALSE
RBMS1,717.023.231.206.454,-111.011.492.452.802,299.366.543.531.009,-370.821.305.358.402,20.872.700.856.827,391.079.096.820.778,FALSE
SMAP2,747.637.971.929.704,-110.715.863.035.019,390.253.113.737.484,-283.702.702.522.177,455.357.575.011.469,352.508.414.109.087,FALSE
MTMR3,151.564.266.100.781,-110.663.664.952.719,356.167.085.928.325,-310.707.163.364.862,188.950.606.759.168,190.201.383.061.634,FALSE
CD8A,882.657.378.346.741,110.464.261.704.602,240.402.169.557.998,459.497.773.700.219,"4,33E+08",199.839.367.707.186,FALSE
C18orf25,454.560.144.017.516,-110.361.005.295.173,268.890.059.165.086,-410.431.704.458.871,"4,06E+09",112.253.722.477.453,FALSE
TSEN54,204.480.006.171.063,110.353.319.734.572,24.701.982.994.747,446.738.708.216.416,"7,92E+08",32.349.036.125.073,FALSE
PTPN4,291.836.826.597.559,110.278.673.088.522,341.889.278.987.258,322.556.686.817.407,125.723.462.983.981,142.793.523.528.056,FALSE
MAP4K2,235.416.779.087.032,110.277.437.450.929,261.403.745.955.066,421.866.324.248.794,"2,46E+09",757.523.210.931.053,FALSE
DTNBP1,145.553.831.185.657,-110.188.377.465.904,361.794.607.357.528,-304.560.585.550.725,232.212.020.964.892,219.418.235.219.933,FALSE
TNK2,142.977.176.993.865,-110.172.185.495.117,341.350.560.063.877,-322.753.785.652.208,124.860.518.225.035,142.119.182.670.312,FALSE
SMURF2,791.727.419.704.095,109.962.402.477.254,288.623.981.861.145,380.988.446.518.475,139.031.747.488.454,29.309.742.700.662,FALSE
ZNF219,224.039.947.598.896,109.952.891.054.013,373.185.661.346.472,294.633.214.623.781,321.566.895.221.961,277.208.650.038.282,FALSE
NDUFV1,371.579.967.826.785,109.919.136.235.454,342.281.571.567.157,321.136.588.605.057,13.210.561.715.612,147.279.038.481.481,FALSE
MARCKS,161.219.146.909.874,-109.904.253.093.224,366.612.422.901.085,-299.783.221.265.466,271.907.327.339.052,24.495.284.899.699,FALSE
SPG20,232.080.609.074.566,-109.864.070.853.362,225.241.926.718.679,-487.760.304.903.533,"1,07E+07","6,77E+09",FALSE
HENMT1,749.326.572.694.116,109.763.297.034.082,278.809.718.513.756,393.685.333.564.392,"8,26E+09",196.158.939.214.687,FALSE
SENCR,401.225.235.112.744,-109.682.232.544.782,387.374.621.739.394,-283.142.535.389.349,463.410.488.792.188,355.032.570.792.919,FALSE
TLR1,118.930.751.934.463,-109.610.052.169.271,382.226.175.750.286,-286.767.519.137.362,413.499.802.849.262,329.982.915.322.079,FALSE
LTBR,535.949.999.993.971,-109.603.296.246.321,364.569.748.839.099,-300.637.385.837.225,264.383.721.147.982,240.838.365.790.155,FALSE
DRAM1,15.626.421.653.904,-109.417.135.113.028,303.926.020.518.086,-360.012.396.854.045,318.065.500.985.861,539.009.961.180.349,FALSE
RPL15,238.381.844.588.588,109.347.869.397.571,324.931.952.639.711,336.525.443.278.942,76.473.105.284.676,101.063.240.529.749,FALSE
TOR4A,365.320.763.584.888,-109.297.725.597.949,32.069.658.247.741,-340.813.502.762.063,654.085.193.886.722,907.695.825.635.106,FALSE
TPP1,233.770.403.036.413,-109.263.086.528.723,280.427.099.082.058,-389.630.983.904.131,"9,77E+09",22.145.523.131.357,FALSE
RPL37,227.445.094.144.384,109.260.599.614.068,375.901.787.169.491,290.662.623.438.933,365.349.452.553.647,304.777.277.225.477,FALSE
VIPR1,823.096.223.776.529,109.225.361.329.272,390.804.619.915.312,279.488.408.691.129,519.183.267.767.977,385.500.336.516.522,FALSE
GIMAP2,886.403.366.598.635,-109.201.044.414.805,296.724.671.698.075,-36.802.145.163.689,233.037.828.028.476,420.537.409.598.856,FALSE
CHIC2,226.472.444.958.741,-109.132.100.785.535,302.441.574.546.049,-360.836.968.096.525,308.127.223.966.743,523.724.439.544.069,FALSE
HIST1H2AL,112.478.486.182.821,-109.103.917.512.544,378.461.714.674.106,-288.282.574.649.576,394.125.397.595.323,319.928.836.980.403,FALSE
POLR1E,372.641.534.301.289,109.058.722.867.499,397.527.792.449.066,274.342.385.460.942,608.021.478.107.187,432.055.137.558.409,FALSE
LCK,123.448.249.996.418,109.033.834.012.895,318.707.776.750.849,342.112.248.168.115,62.363.239.538.076,875.745.587.217.793,FALSE
DUS1L,311.456.360.114.177,108.923.288.761.295,330.883.808.816.543,329.188.935.387.548,995.167.564.604.721,12.215.426.731.893,FALSE
LBX2-AS1,413.776.987.056.418,-108.839.212.174.323,405.572.930.442.737,-268.359.163.062.265,728.360.128.187.644,490.318.779.074.922,FALSE
RPL7A,144.058.752.238.283,108.833.887.811.262,399.856.471.048.135,272.182.384.659.121,649.227.387.650.896,4.514.901.436.682,FALSE
ZNF595,371.700.762.630.278,108.765.163.576.869,397.554.172.556.819,273.585.767.890.095,622.179.286.970.738,439.922.800.241.864,FALSE
DDX46,264.649.959.535.575,10.868.688.288.752,236.898.663.207.206,458.790.612.897.868,"4,48E+08",204.615.435.965.271,FALSE
NT5DC1,378.990.186.212.892,108.677.088.883.948,279.481.424.379.838,388.852.637.076.328,100.854.713.661.572,225.981.927.172.932,FALSE
MGAT1,300.986.127.397.631,-108.528.399.903.254,320.213.295.280.266,-338.925.339.774.742,700.832.141.550.779,950.563.806.214.325,FALSE
SYNPO,609.312.290.901.965,108.478.276.992.794,320.348.147.344.555,33.862.620.368.495,708.516.947.227.915,959.695.461.179.854,FALSE
ZSWIM7,528.181.647.736.601,108.459.939.936.226,337.351.673.629.227,321.504.081.392.024,130.425.976.792.145,146.120.654.746.014,FALSE
DENND5A,187.455.879.087.482,-108.443.637.245.761,370.621.977.943.685,-292.599.046.196.442,343.361.464.274.936,291.155.204.465.104,FALSE
UBAP1,811.664.839.234.857,-108.364.869.560.397,247.478.135.914.396,-437.876.538.709.185,"1,19E+09",428.058.828.549.039,FALSE
SEC14L1,264.196.921.490.828,-108.352.773.689.045,305.251.287.504.998,-354.962.544.383.277,385.779.614.690.317,617.951.756.396.498,FALSE
HSH2D,713347.25.00,-108.345.406.419.545,341.901.053.656.506,-316.891.115.896.927,153.011.157.926.557,1.635.512.892.364,FALSE
TRIM14,787.078.781.508.078,-108.196.792.106.927,272.984.588.691.902,-396.347.620.301.163,"7,39E+09",179.243.478.890.357,FALSE
RANGAP1,666.058.253.285.343,-108.116.848.202.546,367.742.562.166.394,-294.001.454.619.838,328.196.838.827.165,281.040.836.423.478,FALSE
NAB2,599.267.987.970.187,108.066.595.845.754,32.367.181.845.924,333.877.062.143.312,841.500.190.356.131,108.321.779.582.524,FALSE
RNF13,862.799.092.274.793,-107.945.929.987.114,343.957.643.871.606,-313.834.950.059.749,169.902.159.392.936,176.639.391.784.543,FALSE
ARID3A,25.312.355.042.971,-107.908.562.644.279,349.314.818.476.259,-30.891.492.984.748,200.730.538.529.955,199.245.586.765.373,FALSE
RNF135,290.757.782.015.403,-107.833.343.239.759,314.370.952.787.001,-34.301.306.238.309,603.290.746.890.852,852.606.067.941.781,FALSE
SSTR3,113.034.222.820.308,-107.833.177.279.201,373.875.724.989.209,-288.419.841.331.805,392.411.424.910.674,319.310.913.627.866,FALSE
CD96,26.268.001.461.446,107.755.472.891.512,274.569.561.524.688,392.452.361.773.623,"8,69E+09",202.267.753.772.209,FALSE
CUX1,680.010.821.658.622,-107.737.254.405.559,310.117.276.962.012,-347.408.101.415.633,512.606.237.609.327,754.357.953.539.919,FALSE
TOMM7,623.896.874.886.887,107.704.455.717.844,398.301.461.328.613,270.409.391.315.248,68.490.928.771.914,469.716.802.551.821,FALSE
LOC153684,447.467.780.002.276,-107.485.943.480.117,36.071.673.720.936,-297.978.808.279.507,288.447.858.735.201,256.011.504.192.604,FALSE
CCNK,679.895.488.506.991,-107.483.361.488.549,195.157.825.293.292,-550.750.969.514.128,"3,64E+06","4,94E+08",FALSE
PXN,469.121.258.366.529,-107.402.969.246.317,331.825.954.641.893,-323.672.599.276.409,120.909.446.810.924,138.799.546.727.773,FALSE
RBM3,738.919.776.183.768,107.320.135.265.465,252.339.668.872.157,425.300.293.628.573,"2,11E+09",680.018.494.684.781,FALSE
RNF122,154.577.866.087.507,-107.258.038.235.192,316.067.840.322.362,-339.351.318.140.428,690.022.376.121.305,943.372.231.910.548,FALSE
KDM8,283.681.027.631.468,107.078.028.421.508,317.017.618.157.978,337.766.806.285.662,731.032.662.149.185,978.571.304.203.223,FALSE
MMAB,257.023.589.192.342,107.039.504.634.909,389.762.836.792.461,274.627.272.101.636,602.766.340.738.014,430.399.370.823.946,FALSE
MMADHC,445.622.898.405.423,-107.000.870.474.777,342.567.116.861.588,-312.350.092.020.099,178.713.306.411.548,182.636.672.009.292,FALSE
ASPHD2,136.586.246.367.389,-106.828.084.013.686,279.644.296.509.252,-382.014.170.670.388,133.375.023.819.757,284.325.634.890.529,FALSE
NAE1,40.474.628.984.994,106.822.441.923.979,372.084.319.013.155,287.092.028.514.651,409.278.720.825.339,328.257.651.969.971,FALSE
LOC644285,502.073.187.672.326,-106.799.648.411.773,32.121.476.607.784,-332.486.733.769.555,884.606.159.212.661,112.806.661.196.143,FALSE
FCN1,75.768.054.531.355,-106.714.161.495.138,37.688.538.524.891,-283.147.518.242.609,463.338.290.868.538,355.032.570.792.919,FALSE
IFNGR1,159.281.108.384.718,-106.695.919.834.974,332.523.409.265.277,-320.867.394.180.527,133.348.621.639.051,148.085.786.737.427,FALSE
GPATCH1,334.972.084.087.568,106.681.625.448.079,325.745.328.350.789,32.750.009.336.495,105.661.624.417.164,12.657.056.324.648,FALSE
